iter	RMSE
0	0.01544360932
1	0.0154018213
2	0.01536337503
3	0.01532613191
4	0.01529794554
5	0.01527538561
6	0.01524193961
7	0.01521552582
8	0.01518609216
9	0.01515658262
10	0.01513125452
11	0.01510433966
12	0.0150802006
13	0.01505487257
14	0.01503290823
15	0.0150098281
16	0.01498402045
17	0.01496420715
18	0.01494085959
19	0.01491967008
20	0.01489787222
21	0.01487569634
22	0.0148533352
23	0.01482928426
24	0.01481025339
25	0.01479093122
26	0.01478402471
27	0.0147686068
28	0.01475267115
29	0.01473797115
30	0.01471792848
31	0.01470273275
32	0.01468064355
33	0.0146643247
34	0.01464517274
35	0.01462519307
36	0.01461206231
37	0.01459262117
38	0.01457695509
39	0.01456377672
40	0.01454997072
41	0.01452810753
42	0.01451786007
43	0.0145069792
44	0.01449878594
45	0.01449064471
46	0.0144849606
47	0.01446822881
48	0.01445174317
49	0.01444082393
50	0.01441996429
51	0.01440714818
52	0.0143890309
53	0.01437203307
54	0.01436016475
55	0.01434297983
56	0.01433220534
57	0.01432216628
58	0.01431710918
59	0.01430956712
60	0.01429208024
61	0.01428042923
62	0.01426328336
63	0.01425535472
64	0.01424758622
65	0.01424174162
66	0.01422630474
67	0.01421262775
68	0.01420003582
69	0.01418890032
70	0.01417167709
71	0.014159532
72	0.01414308459
73	0.01413258463
74	0.01412018542
75	0.01411242652
76	0.01410938063
77	0.01409750856
78	0.01409217805
79	0.01407999173
80	0.01407171093
81	0.01406152763
82	0.01405528447
83	0.01404573547
84	0.01403151562
85	0.0140148193
86	0.01400239359
87	0.01399695854
88	0.01398551142
89	0.01397784229
90	0.01396980235
91	0.01396277902
92	0.01395104449
93	0.01393716835
94	0.01392419746
95	0.01391828783
96	0.01390847891
97	0.01389661225
98	0.01389091854
99	0.01388208609
100	0.01387354412
101	0.01386703969
102	0.01385655244
103	0.01384632169
104	0.01384006308
105	0.01383273301
106	0.01382483638
107	0.01381602458
108	0.01380826971
109	0.01380024417
110	0.01379350142
111	0.013790471
112	0.01378114488
113	0.01377507433
114	0.01376675724
115	0.01375786836
116	0.0137521939
117	0.01374408407
118	0.01373841075
119	0.01372879306
120	0.01372092483
121	0.01371635064
122	0.01370850185
123	0.0137045125
124	0.01369485005
125	0.01369030257
126	0.0136850781
127	0.01368060455
128	0.01367407383
129	0.01366329676
130	0.01365822403
131	0.01364441415
132	0.01363771252
133	0.01362926791
134	0.01362145544
135	0.01361588475
136	0.01360718178
137	0.01360016827
138	0.01359409304
139	0.01358418072
140	0.01357610186
141	0.0135684456
142	0.0135612361
143	0.01355257127
144	0.01354572814
145	0.01353644354
146	0.0135289873
147	0.01352322516
148	0.01351459971
149	0.01351148794
150	0.01350766163
151	0.01349529856
152	0.01348809522
153	0.01348267176
154	0.01347633675
155	0.01346486789
156	0.01345117233
157	0.01344201118
158	0.01342907035
159	0.0134235773
160	0.01341736843
161	0.0134145969
162	0.01341098187
163	0.01340128844
164	0.01339608912
165	0.01339054198
166	0.01338140528
167	0.01337438283
168	0.01336384421
169	0.01335558169
170	0.01334634491
171	0.0133384395
172	0.01332994598
173	0.01331929441
174	0.01330918199
175	0.01330416476
176	0.01329525634
177	0.01328956448
178	0.01328226125
179	0.01327471382
180	0.01326847298
181	0.01325912013
182	0.01325046035
183	0.01324187675
184	0.01323259688
185	0.01322701825
186	0.01321863891
187	0.01320824987
188	0.01319653602
189	0.01318396573
190	0.01317903221
191	0.01317310324
192	0.01316678569
193	0.01315880263
194	0.01315675902
195	0.01314498839
196	0.0131359034
197	0.0131291392
198	0.01312206204
199	0.01311427785
200	0.01310913971
201	0.01310135429
202	0.01309376689
203	0.01308573194
204	0.01307968296
205	0.01306478086
206	0.01305508186
207	0.01305090763
208	0.01304391079
209	0.01303313772
210	0.0130261287
211	0.0130160635
212	0.0130093262
213	0.01300189953
214	0.01299812972
215	0.01298612808
216	0.01297915521
217	0.01297147658
218	0.01296211539
219	0.01295415502
220	0.01295017235
221	0.01294614984
222	0.01293992374
223	0.01293705369
224	0.01293019745
225	0.01292600414
226	0.01291757084
227	0.01291086024
228	0.0129080779
229	0.01290657924
230	0.01289826045
231	0.01289212352
232	0.01288333818
233	0.01287622677
234	0.01287031623
235	0.01285739718
236	0.01284900639
237	0.01284304141
238	0.01283521433
239	0.01282778165
240	0.01281634384
241	0.01281016471
242	0.01280024653
243	0.01279305125
244	0.01278470761
245	0.01277498639
246	0.01276243179
247	0.01275436393
248	0.01274568606
249	0.01273794953
250	0.0127290209
251	0.01272251486
252	0.01271621003
253	0.01270801224
254	0.0127023226
255	0.01269435125
256	0.01268022488
257	0.01267104121
258	0.01266369143
259	0.01265813179
260	0.01264828735
261	0.01264260736
262	0.01263644252
263	0.01262976612
264	0.01262062729
265	0.01261126667
266	0.01260262377
267	0.0125935447
268	0.01258390657
269	0.01257416118
270	0.01256363502
271	0.01255580522
272	0.0125489902
273	0.01254099042
274	0.01252882023
275	0.01251922291
276	0.01250893969
277	0.01249886903
278	0.01248835877
279	0.01247790477
280	0.01247235701
281	0.01246385184
282	0.01245569126
283	0.01244642996
284	0.01243916377
285	0.01243149415
286	0.01242466824
287	0.0124200639
288	0.01240995596
289	0.01240058338
290	0.01239347669
291	0.01238711511
292	0.01238074557
293	0.01237270934
294	0.01236717754
295	0.01235935669
296	0.01235352524
297	0.01234294992
298	0.01233333074
299	0.01232402166
