Regime,Model,RMSE,R²,DirAcc
Bull,XGBoost,0.01181371834129826,-2.542605400085449,0.4970414201183432
Bull,QKernel_Ridge,0.005045715708059119,0.3537581056437299,0.7041420118343196
High Vol,XGBoost,0.012363382637744173,-1.7625467777252197,0.53125
High Vol,QKernel_Ridge,0.005353822597040002,0.4819604069447002,0.78125
Low Vol,XGBoost,0.011340693348978923,-2.6969997882843018,0.48863636363636365
Low Vol,QKernel_Ridge,0.00469306960609673,0.36688261304786485,0.6875
