Horizon,Model,R²,RMSE,DirAcc
1-day,XGBoost,-0.5431296825408936,0.00974408209884552,0.6125
1-day,QKernel_Ridge,-0.06588923931121826,0.008098335459370094,0.6
5-day,XGBoost,-0.0731041431427002,0.016643979251925494,0.5375
5-day,QKernel_Ridge,-0.18288397789001465,0.017474602302278243,0.55
10-day,XGBoost,-0.9560400247573853,0.030310584934441047,0.625
10-day,QKernel_Ridge,-0.39110803604125977,0.025561473157773122,0.675
20-day,XGBoost,-3.7147483825683594,0.05600961499646694,0.45
20-day,QKernel_Ridge,-1.2855744361877441,0.03899698425727485,0.575
