Configuration,RMSE,MAE,R²,DirAcc
Full Quantum Model,0.012139333028069063,0.009606352774426341,-2.5762900710105896,0.5
Classical Baseline,0.012221828527041644,0.00970241124741733,-2.6680015325546265,0.51875
Classical Model + QFeatures,0.012139333028069063,0.009606352774426341,-2.5762900710105896,0.5
QFeatures + Classical Model,0.007439585484284634,0.005821313010528684,-0.14928537607192993,0.525
Reduced Qubit (2 Qubits),0.01108812699132037,0.008841363014653325,-1.7888625264167786,0.45625000000000004
Alt Feature Map (Angle),0.012139333028069063,0.009606352774426341,-2.5762900710105896,0.5
Alt Kernel (Reps=1),0.012139333028069063,0.009606352774426341,-2.5762900710105896,0.5
